State	District
Andhra Pradesh	Alluri Sitharama Raju
Andhra Pradesh	Anakapalli
Andhra Pradesh	Ananthapuramu
Andhra Pradesh	Annamayya
Andhra Pradesh	Bapatla
Andhra Pradesh	Chittoor
Andhra Pradesh	Dr. B.R. Ambedkar Konaseema
Andhra Pradesh	East Godavari
Andhra Pradesh	Eluru
Andhra Pradesh	Guntur
Andhra Pradesh	Kakinada
Andhra Pradesh	Krishna
Andhra Pradesh	Kurnool
Andhra Pradesh	NTR
Andhra Pradesh	Nandyal
Andhra Pradesh	Nellore
Andhra Pradesh	Palnadu
Andhra Pradesh	Parvathipuram Manyam
Andhra Pradesh	Prakasam
Andhra Pradesh	Sri Sathya Sai
Andhra Pradesh	Srikakulam
Andhra Pradesh	Tirupati
Andhra Pradesh	Visakhapatnam
Andhra Pradesh	Vizianagaram
Andhra Pradesh	West Godavari
Andhra Pradesh	YSR Kadapa
Arunachal Pradesh	Anjaw
Arunachal Pradesh	Bichom
Arunachal Pradesh	Changlang
Arunachal Pradesh	East Kameng
Arunachal Pradesh	East Siang
Arunachal Pradesh	Itanagar Capital Complex
Arunachal Pradesh	Kamle
Arunachal Pradesh	Keyi Panyor
Arunachal Pradesh	Kra Daadi
Arunachal Pradesh	Kurung Kumey
Arunachal Pradesh	Lepa Rada
Arunachal Pradesh	Lohit
Arunachal Pradesh	Longding
Arunachal Pradesh	Lower Dibang Valley
Arunachal Pradesh	Lower Siang
Arunachal Pradesh	Lower Subansiri
Arunachal Pradesh	Namsai
Arunachal Pradesh	Pakke-Kessang
Arunachal Pradesh	Papum Pare
Arunachal Pradesh	Shi Yomi
Arunachal Pradesh	Siang
Arunachal Pradesh	Tawang
Arunachal Pradesh	Tirap
Arunachal Pradesh	Upper Dibang Valley
Arunachal Pradesh	Upper Siang
Arunachal Pradesh	Upper Subansiri
Arunachal Pradesh	West Kameng
Arunachal Pradesh	West Siang
Assam	Bajali
Assam	Baksa
Assam	Barpeta
Assam	Biswanath
Assam	Bongaigaon
Assam	Cachar
Assam	Charaideo
Assam	Chirang
Assam	Darrang
Assam	Dhemaji
Assam	Dhubri
Assam	Dibrugarh
Assam	Dima Hasao
Assam	Goalpara
Assam	Golaghat
Assam	Hailakandi
Assam	Hojai
Assam	Jorhat
Assam	Kamrup
Assam	Kamrup Metropolitan
Assam	Karbi Anglong
Assam	Karimganj
Assam	Kokrajhar
Assam	Lakhimpur
Assam	Majuli
Assam	Morigaon
Assam	Nagaon
Assam	Nalbari
Assam	Sivasagar
Assam	Sonitpur
Assam	South Salmara-Mankachar
Assam	Tamulpur
Assam	Tinsukia
Assam	Udalguri
Assam	West Karbi Anglong
Bihar	Araria
Bihar	Arwal
Bihar	Aurangabad
Bihar	Banka
Bihar	Begusarai
Bihar	Bhagalpur
Bihar	Bhojpur
Bihar	Buxar
Bihar	Darbhanga
Bihar	East Champaran
Bihar	Gaya
Bihar	Gopalganj
Bihar	Jamui
Bihar	Jehanabad
Bihar	Kaimur
Bihar	Katihar
Bihar	Khagaria
Bihar	Kishanganj
Bihar	Lakhisarai
Bihar	Madhepura
Bihar	Madhubani
Bihar	Munger
Bihar	Muzaffarpur
Bihar	Nalanda
Bihar	Nawada
Bihar	Patna
Bihar	Purnia
Bihar	Rohtas
Bihar	Saharsa
Bihar	Samastipur
Bihar	Saran
Bihar	Sheikhpura
Bihar	Sheohar
Bihar	Sitamarhi
Bihar	Siwan
Bihar	Supaul
Bihar	Vaishali
Bihar	West Champaran
Chhattisgarh	Balod
Chhattisgarh	Baloda Bazar
Chhattisgarh	Balrampur Ramanujganj
Chhattisgarh	Bastar
Chhattisgarh	Bemetara
Chhattisgarh	Bijapur
Chhattisgarh	Bilaspur
Chhattisgarh	Dantewada
Chhattisgarh	Dhamtari
Chhattisgarh	Durg
Chhattisgarh	Gariaband
Chhattisgarh	Gaurela-Pendra-Marwahi
Chhattisgarh	Janjgir-Champa
Chhattisgarh	Jashpur
Chhattisgarh	Kabirdham
Chhattisgarh	Kanker
Chhattisgarh	Khairagarh-Chhuikhadan-Gandai
Chhattisgarh	Kondagaon
Chhattisgarh	Korba
Chhattisgarh	Korea
Chhattisgarh	Mahasamund
Chhattisgarh	Manendragarh-Chirmiri-Bharatpur
Chhattisgarh	Mohla-Manpur Ambagarh Chowki
Chhattisgarh	Mungeli
Chhattisgarh	Narayanpur
Chhattisgarh	Raigarh
Chhattisgarh	Raipur
Chhattisgarh	Rajnandgaon
Chhattisgarh	Sakti
Chhattisgarh	Sarangarh-Bilaigarh
Chhattisgarh	Sukma
Chhattisgarh	Surajpur
Chhattisgarh	Surguja
Goa	North Goa
Goa	South Goa
Gujarat	Ahmedabad
Gujarat	Amreli
Gujarat	Anand
Gujarat	Aravalli
Gujarat	Banaskantha
Gujarat	Bharuch
Gujarat	Bhavnagar
Gujarat	Botad
Gujarat	Chhota Udaipur
Gujarat	Dahod
Gujarat	Dang
Gujarat	Devbhumi Dwarka
Gujarat	Gandhinagar
Gujarat	Gir Somnath
Gujarat	Jamnagar
Gujarat	Junagadh
Gujarat	Kheda
Gujarat	Kutch
Gujarat	Mahisagar
Gujarat	Mehsana
Gujarat	Morbi
Gujarat	Narmada
Gujarat	Navsari
Gujarat	Panchmahal
Gujarat	Patan
Gujarat	Porbandar
Gujarat	Rajkot
Gujarat	Sabarkantha
Gujarat	Surat
Gujarat	Surendranagar
Gujarat	Tapi
Gujarat	Vadodara
Gujarat	Valsad
Haryana	Ambala
Haryana	Bhiwani
Haryana	Charkhi Dadri
Haryana	Faridabad
Haryana	Fatehabad
Haryana	Gurugram
Haryana	Hisar
Haryana	Jhajjar
Haryana	Jind
Haryana	Kaithal
Haryana	Karnal
Haryana	Kurukshetra
Haryana	Mahendragarh
Haryana	Nuh
Haryana	Palwal
Haryana	Panchkula
Haryana	Panipat
Haryana	Rewari
Haryana	Rohtak
Haryana	Sirsa
Haryana	Sonipat
Haryana	Yamunanagar
Himachal Pradesh	Bilaspur
Himachal Pradesh	Chamba
Himachal Pradesh	Hamirpur
Himachal Pradesh	Kangra
Himachal Pradesh	Kinnaur
Himachal Pradesh	Kullu
Himachal Pradesh	Lahaul and Spiti
Himachal Pradesh	Mandi
Himachal Pradesh	Shimla
Himachal Pradesh	Sirmaur
Himachal Pradesh	Solan
Himachal Pradesh	Una
Jharkhand	Bokaro
Jharkhand	Chatra
Jharkhand	Deoghar
Jharkhand	Dhanbad
Jharkhand	Dumka
Jharkhand	East Singhbhum
Jharkhand	Garhwa
Jharkhand	Giridih
Jharkhand	Godda
Jharkhand	Gumla
Jharkhand	Hazaribag
Jharkhand	Jamtara
Jharkhand	Khunti
Jharkhand	Koderma
Jharkhand	Latehar
Jharkhand	Lohardaga
Jharkhand	Pakur
Jharkhand	Palamu
Jharkhand	Ramgarh
Jharkhand	Ranchi
Jharkhand	Sahibganj
Jharkhand	Seraikela-Kharsawan
Jharkhand	Simdega
Jharkhand	West Singhbhum
